LP|Substancja czynna|Nazwa  postać i dawka|Zawartość opakowania|Numer GTIN lub inny kod jednoznacznie identyfikujący produkt|Termin wejścia w życie decyzji|Okres obowiązywania decyzji|Grupa limitowa|Urzędowa cena zbytu|Cena hurtowa brutto|Cena detaliczna|Wysokość limitu finansowania|Zakres wskazań objętych refundacją|Zakres wskazań pozarejestracyjnych objętych refundacją|Poziom odpłatności|Wysokość dopłaty świadczeniobiorcy
1093|Dienogestum|Visanne, tabl., 2 mg|28 szt.|05909990776962|2019-11-01|3 lata|66.0, Hormony płciowe - progestageny - dienogest|110,97|116,52|123,42|36,27|Endometrioza||ryczałt|90,35
1094|Dienogestum|Zafrilla, tabl., 2 mg|28 szt.|05907594032552|2020-09-01|3 lata|66.0, Hormony płciowe - progestageny - dienogest|27,97|29,37|36,27|36,27|Endometrioza||ryczałt|3,20
1095|Dihydrocodeini tartras|DHC Continus, tabl. o zmodyfikowanym uwalnianiu, 60 mg|60 szt.|05909990217045|2022-01-01|3 lata|150.2, Opioidowe leki przeciwbólowe - dihydrokodeina|33,70|35,39|43,20|43,20|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|12,96
1096|Dihydrocodeini tartras|DHC Continus, tabl. o zmodyfikowanym uwalnianiu, 60 mg|60 szt.|05909990217045|2022-01-01|3 lata|150.2, Opioidowe leki przeciwbólowe - dihydrokodeina|33,70|35,39|43,20|43,20|Nowotwory złośliwe||bezpłatny do limitu|0,00
1097|Dihydrocodeini tartras|DHC Continus, tabl. o zmodyfikowanym uwalnianiu, 90 mg|60 szt.|05909990217069|2022-01-01|3 lata|150.2, Opioidowe leki przeciwbólowe - dihydrokodeina|51,49|54,06|63,87|63,87|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|19,16
1098|Dihydrocodeini tartras|DHC Continus, tabl. o zmodyfikowanym uwalnianiu, 90 mg|60 szt.|05909990217069|2022-01-01|3 lata|150.2, Opioidowe leki przeciwbólowe - dihydrokodeina|51,49|54,06|63,87|63,87|Nowotwory złośliwe||bezpłatny do limitu|0,00
1099|Diltiazemi hydrochloridum|Dilzem 120 retard, tabl. o przedłużonym uwalnianiu, 120 mg|30 szt.|05909990482917|2022-01-01|3 lata|43.0, Antagoniści wapnia - pochodne benzotiazepiny - diltiazem|7,99|8,39|11,23|10,65|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,78
1100|Diltiazemi hydrochloridum|Dilzem 180 retard, tabl. o przedłużonym uwalnianiu, 180 mg|30 szt.|05909990483310|2022-01-01|3 lata|43.0, Antagoniści wapnia - pochodne benzotiazepiny - diltiazem|11,87|12,46|16,30|15,98|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,52
1101|Diltiazemi hydrochloridum|Dilzem retard, tabl. o przedłużonym uwalnianiu, 90 mg|30 szt.|05909990213214|2022-01-01|3 lata|43.0, Antagoniści wapnia - pochodne benzotiazepiny - diltiazem|7,02|7,37|9,63|7,99|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|4,84
1102|Diltiazemi hydrochloridum|Oxycardil 120, tabl. powl. o przedłużonym uwalnianiu, 120 mg|30 szt.|05909990112616|2022-01-01|3 lata|43.0, Antagoniści wapnia - pochodne benzotiazepiny - diltiazem|7,86|8,25|11,09|10,65|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,64
1103|Diltiazemi hydrochloridum|Oxycardil 60, tabl. powl., 60 mg|60 szt.|05909990121120|2022-01-01|3 lata|43.0, Antagoniści wapnia - pochodne benzotiazepiny - diltiazem|7,44|7,81|10,65|10,65|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
1104|Dinatrii pamidronas|Pamifos-30, proszek i rozpuszczalnik do sporządzania roztworu do infuzji, 30 mg|2 fiol. z prosz.po 30 mg + 2 amp.po 10 ml|05909990661671|2022-01-01|3 lata|146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy|183,71|192,90|210,22|205,93|Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych||ryczałt|7,49
1105|Dinatrii pamidronas|Pamifos-60, proszek i rozpuszczalnik do sporządzania roztworu do infuzji, 60 mg|1 fiol. z prosz.po 60 mg + 1 amp.po 10 ml|05909990661688|2022-01-01|3 lata|146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy|183,71|192,90|210,22|205,93|Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych||ryczałt|7,49
1106|Dinatrii pamidronas|Pamifos-90, proszek i rozpuszczalnik do sporządzania roztworu do infuzji, 90 mg|1 fiol. z prosz.po 90 mg + 1 amp.po 10 ml|05909990661695|2022-01-01|3 lata|146.2, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy|275,40|289,17|308,90|308,90|Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych||ryczałt|3,20
1107|Donepezil hydrochloride|Cogiton 10, tabl. powl., 10 mg|28 szt.|05909991024413|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|34,02|35,72|42,64|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|17,16
1108|Donepezil hydrochloride|Cogiton 10, tabl. powl., 10 mg|56 szt.|05909991024420|2019-09-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|58,59|61,52|71,92|71,92|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|21,58
1109|Donepezil hydrochloride|Cogiton 10, tabl. powl., 10 mg|84 szt.|05907695215380|2021-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|87,88|92,27|105,20|105,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|31,56
1110|Donepezil hydrochloride|Cogiton 5, tabl. powl., 5 mg|28 szt.|05909991024314|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|19,44|20,41|24,86|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|12,12
1111|Donepezili hydrochloridum|Apo-Doperil, tabl. powl., 5 mg|28 szt.|05909990770038|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|18,52|19,45|23,90|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|11,16
1112|Donepezili hydrochloridum|Donecept, tabl. powl., 10 mg|28 szt.|05909991464141|2022-01-01  - dla kolumny M, 2022-01-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|28,03|29,43|36,35|36,35|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|10,91
1113|Donepezili hydrochloridum|Donecept, tabl. powl., 10 mg|28 szt.|05909990689873|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|29,38|30,85|37,76|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|12,28
1114|Donepezili hydrochloridum|Donecept, tabl. powl., 5 mg|28 szt.|05909990689781|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|14,69|15,42|19,87|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|7,13
1115|Donepezili hydrochloridum|Donectil, tabl. powl., 10 mg|28 szt.|05909990683666|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|28,08|29,48|36,40|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|10,92
1116|Donepezili hydrochloridum|Donectil, tabl. powl., 5 mg|28 szt.|05909990683581|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|15,12|15,88|20,33|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|7,59
1117|Donepezili hydrochloridum|Donepex, tabl. powl., 10 mg|28 szt.|05909991056018|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|28,08|29,48|36,40|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|10,92
1118|Donepezili hydrochloridum|Donepex, tabl. powl., 5 mg|28 szt.|05909991055912|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|14,04|14,74|19,19|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|6,45
1119|Donepezili hydrochloridum|Donepezil Polfarmex, tabl., 10 mg|28 szt.|05909990877669|2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|30,20|31,71|38,63|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|13,15
1120|Donepezili hydrochloridum|Donepezil Polfarmex, tabl., 5 mg|28 szt.|05909990877553|2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|15,40|16,17|20,62|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|7,88
1121|Donepezili hydrochloridum|Donesyn, tabl. powl., 10 mg|28 szt.|05909990657360|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|28,62|30,05|36,97|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|11,49
1122|Donepezili hydrochloridum|Donesyn, tabl. powl., 5 mg|28 szt.|05909990657353|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|14,85|15,59|20,05|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|7,31
1123|Donepezili hydrochloridum|Memorion, tabl. powl., 10 mg|28 szt.|05909991403560|2020-09-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|24,73|25,97|32,89|32,89|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|9,87
1124|Donepezili hydrochloridum|Memorion, tabl. powl., 5 mg|28 szt.|05909991398842|2020-09-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|12,64|13,27|17,72|17,72|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|5,32
1125|Donepezili hydrochloridum|Symepezil, tabl. powl., 10 mg|28 szt.|05909991275778|2020-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|27,00|28,35|35,27|35,27|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|10,58
1126|Donepezili hydrochloridum|Symepezil, tabl. powl., 5 mg|28 szt.|05909991275747|2020-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|13,50|14,18|18,63|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|5,89
1127|Donepezili hydrochloridum|Yasnal, tabl. powl., 10 mg|28 szt.|05909990993314|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|29,70|31,19|38,11|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|12,63
1128|Donepezili hydrochloridum|Yasnal, tabl. powl., 5 mg|28 szt.|05909990993215|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|19,18|20,14|24,59|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|11,85
1129|Donepezilum|Apo-Doperil, tabl. powl., 10 mg|28 szt.|05909990770045|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|28,19|29,60|36,52|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|11,04
1130|Donepezilum|Apo-Doperil, tabl. powl., 10 mg|98 szt.|05902020661474|2017-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N|5 lat - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|75,06|78,81|92,47|92,47|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|27,74
1131|Donepezilum|Donectil ODT, tabl. ulegające rozpadowi w jamie ustnej, 10 mg|30 szt.|05909990851492|2019-07-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|30,74|32,28|39,52|39,00|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|12,22
1132|Donepezilum|Donepezil Bluefish, tabl. powl., 10 mg|28 szt.|05909990814138|2019-03-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|18,79|19,73|26,65|26,65|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|8,00
1133|Donepezilum|Donepezil Bluefish, tabl. powl., 5 mg|28 szt.|05909990814077|2019-03-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|9,40|9,87|14,32|14,32|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|4,30
1134|Donepezilum|Ricordo, tabl. ulegające rozpadowi w jamie ustnej, 10 mg|28 szt.|05909990798940|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|30,46|31,98|38,90|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|13,42
1135|Donepezilum|Ricordo, tabl. ulegające rozpadowi w jamie ustnej, 5 mg|28 szt.|05909990798933|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|21,49|22,56|27,01|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|14,27
1136|Donepezilum|Yasnal Q-Tab, tabl. ulegające rozpadowi w jamie ustnej, 10 mg|28 szt.|05909990850204|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|29,70|31,19|38,11|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|12,63
1137|Donepezilum|Yasnal Q-Tab, tabl. ulegające rozpadowi w jamie ustnej, 5 mg|28 szt.|05909990850075|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|20,09|21,09|25,54|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona|30%|12,80
1138|Dornasum alfa|Pulmozyme, roztwór do nebulizacji, 1 mg/ml|30 amp.a 2,5 ml|05909990375813|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|205.2, Leki mukolityczne - dornaza alfa|2256,12|2368,93|2427,04|2427,04|Mukowiscydoza|pierwotna dyskineza rzęsek|ryczałt|3,20
1139|Dorzolamidum|Dorzoma Mono, krople do oczu, roztwór, 20 mg/ml|1 but.po 5 ml|05909991234904|2019-05-01|3 lata|212.2, Leki przeciwjaskrowe - inhibitory anhydrazy węglanowej do stosowania do oczu - produkty jednoskładnikowe i złożone z lekami beta-adrenolitycznymi, leki alfaadrenergiczne do stosowania do oczu|14,26|14,97|19,13|16,93|Jaskra||ryczałt|5,40
1140|Dorzolamidum|Dropzol, krople do oczu, roztwór, 20 mg/ml|1 but.|05909990838325|2019-03-01|3 lata|212.2, Leki przeciwjaskrowe - inhibitory anhydrazy węglanowej do stosowania do oczu - produkty jednoskładnikowe i złożone z lekami beta-adrenolitycznymi, leki alfaadrenergiczne do stosowania do oczu|14,90|15,65|19,81|16,93|Jaskra||ryczałt|6,08
1141|Dorzolamidum|Nodofree, krople do oczu, roztwór, 20 mg/ml|1 butelka 5 ml|05909991344306|2021-03-01|3 lata|212.2, Leki przeciwjaskrowe - inhibitory anhydrazy węglanowej do stosowania do oczu - produkty jednoskładnikowe i złożone z lekami beta-adrenolitycznymi, leki alfaadrenergiczne do stosowania do oczu|14,29|15,00|19,16|16,93|Jaskra||ryczałt|5,43
1142|Dorzolamidum|Nodofree, krople do oczu, roztwór, 20 mg/ml|3 butelki 5 ml|05909991344313|2021-03-01|3 lata|212.2, Leki przeciwjaskrowe - inhibitory anhydrazy węglanowej do stosowania do oczu - produkty jednoskładnikowe i złożone z lekami beta-adrenolitycznymi, leki alfaadrenergiczne do stosowania do oczu|42,91|45,06|53,53|50,80|Jaskra||ryczałt|8,06
1143|Dorzolamidum|Nodom, krople do oczu, roztwór, 20 mg/ml|1 but.po 5 ml|05909990942855|2019-09-01|3 lata|212.2, Leki przeciwjaskrowe - inhibitory anhydrazy węglanowej do stosowania do oczu - produkty jednoskładnikowe i złożone z lekami beta-adrenolitycznymi, leki alfaadrenergiczne do stosowania do oczu|17,17|18,03|22,19|16,93|Jaskra||ryczałt|8,46
